2026-03-17 17:35:06 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | httpx | HTTP Request: HEAD https://hf-mirror.com/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/sentence_bert_config.json "HTTP/1.1 200 OK"
2026-03-17 17:35:07 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | httpx | HTTP Request: HEAD https://hf-mirror.com/sentence-transformers/all-MiniLM-L6-v2/resolve/main/adapter_config.json "HTTP/1.1 404 Not Found"
2026-03-17 17:35:07 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | httpx | HTTP Request: HEAD https://hf-mirror.com/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-03-17 17:35:08 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | httpx | HTTP Request: HEAD https://hf-mirror.com/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config.json "HTTP/1.1 200 OK"
2026-03-17 17:35:08 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | httpx | HTTP Request: HEAD https://hf-mirror.com/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-03-17 17:35:09 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | httpx | HTTP Request: HEAD https://hf-mirror.com/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config.json "HTTP/1.1 200 OK"
2026-03-17 17:35:09 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | httpx | HTTP Request: HEAD https://hf-mirror.com/sentence-transformers/all-MiniLM-L6-v2/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-03-17 17:35:10 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | httpx | HTTP Request: HEAD https://hf-mirror.com/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/tokenizer_config.json "HTTP/1.1 200 OK"
2026-03-17 17:35:10 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | httpx | HTTP Request: GET https://hf-mirror.com/api/models/sentence-transformers/all-MiniLM-L6-v2/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-03-17 17:35:10 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | httpx | HTTP Request: GET https://hf-mirror.com/api/models/sentence-transformers/all-MiniLM-L6-v2/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-03-17 17:35:11 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | httpx | HTTP Request: HEAD https://hf-mirror.com/sentence-transformers/all-MiniLM-L6-v2/resolve/main/1_Pooling/config.json "HTTP/1.1 307 Temporary Redirect"
2026-03-17 17:35:12 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | httpx | HTTP Request: HEAD https://hf-mirror.com/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/1_Pooling%2Fconfig.json "HTTP/1.1 200 OK"
2026-03-17 17:35:12 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | httpx | HTTP Request: GET https://hf-mirror.com/api/models/sentence-transformers/all-MiniLM-L6-v2 "HTTP/1.1 200 OK"
2026-03-17 17:35:12 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | app.platform.vector.base | 向量模型加载完成
2026-03-17 17:35:16 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | app.platform.vector.api_strategy | API 向量索引构建完成: shape=(644, 384)
2026-03-17 17:35:16 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | app.platform.vector.base | 向量索引缓存保存成功: D:\code\BugSeek\backend\data\api_vectors\api_embeddings.pkl
2026-03-17 17:35:16 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | app.main | ✅ 项目 1 (InvenTree) API 向量索引构建成功
2026-03-17 17:35:16 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | app.main | 为项目 2 (TEST) 构建 API 向量索引...
2026-03-17 17:35:16 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | app.platform.vector.api_strategy | API 向量索引已存在，跳过构建: 644 条记录
2026-03-17 17:35:16 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | app.main | ✅ 项目 2 (TEST) API 向量索引构建成功
2026-03-17 17:35:16 | INFO | [01c2105e5e9141b2b273eb2c4f8725bc] | app.main | ✅ 向量索引预热任务完成，系统语义检索功能就绪
2026-03-17 17:36:50 | INFO | [4767a5ec57bb493f9865730edcb7a597] | root | 日志系统初始化完成
2026-03-17 17:36:50 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.main | 应用启动事件执行中...
2026-03-17 17:36:50 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.main | Celery 实例: bugseek
2026-03-17 17:36:50 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.main | Broker URL: redis://localhost:6381/0
2026-03-17 17:36:50 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.main | Result Backend: redis://localhost:6381/1
2026-03-17 17:36:50 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.main | 字段映射任务已注册: app.celery.tasks.execute_field_mapping_task
2026-03-17 17:36:50 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.main | 开始预热向量索引...
2026-03-17 17:36:50 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.main | 应用启动事件执行完成
2026-03-17 17:36:50 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.main | 提示: 请确保 Celery Worker 正在运行
2026-03-17 17:36:50 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.main | 启动命令: celery -A app.celery_config worker --loglevel=info --pool=solo
2026-03-17 17:36:50 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.platform.vector.vector_index | VectorIndexManager 单例初始化完成
2026-03-17 17:36:50 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.platform.vector.vector_index | [4767a5ec57bb493f9865730edcb7a597] 从缓存加载向量索引成功: 289 个列
2026-03-17 17:36:50 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.platform.vector.vector_index | [4767a5ec57bb493f9865730edcb7a597] 缓存 schema_hash: b49b286ec42229af0a21478cbeae2920
2026-03-17 17:36:50 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.platform.vector.vector_index | VectorIndexManager 缓存加载成功: 289 个列
2026-03-17 17:36:50 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.main | 数据库列向量索引已从缓存加载
2026-03-17 17:36:51 | WARNING | [4767a5ec57bb493f9865730edcb7a597] | app.platform.vector.vector_index | [4767a5ec57bb493f9865730edcb7a597] schema_hash 不匹配
2026-03-17 17:36:51 | WARNING | [4767a5ec57bb493f9865730edcb7a597] | app.platform.vector.vector_index | [4767a5ec57bb493f9865730edcb7a597]   缓存: b49b286ec42229af0a21478cbeae2920
2026-03-17 17:36:51 | WARNING | [4767a5ec57bb493f9865730edcb7a597] | app.platform.vector.vector_index | [4767a5ec57bb493f9865730edcb7a597]   当前: a98371ee9ec6949de2e216c129c4c14e
2026-03-17 17:36:51 | WARNING | [4767a5ec57bb493f9865730edcb7a597] | app.main | 检测到数据库结构变更，触发数据库列向量索引重建...
2026-03-17 17:36:51 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.platform.vector.vector_index | [4767a5ec57bb493f9865730edcb7a597] 向量索引已存在，跳过构建: 289 个列
2026-03-17 17:36:51 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.main | 数据库列向量索引重建完成
2026-03-17 17:36:51 | INFO | [4767a5ec57bb493f9865730edcb7a597] | app.main | 开始 API 向量索引预热...
